K,Silhouette,Davies_Bouldin,Calinski_Harabasz
2,0.1414113114587009,2.3283341975817082,3887.634016233168
3,0.1117042463790008,2.3547007018142962,3693.816686295844
4,0.09670407514986724,2.4638472875733046,3005.003352697457
5,0.0837749554069683,2.5381248717229,2605.430127053135
6,0.08158001828552687,2.4668870592673096,2347.9840280605104
7,0.07344031534071599,2.649275658219532,2100.3309982379164
8,0.0652405066970837,2.770686016772761,1904.6266236001468
9,0.06626252449181295,2.688916639685827,1752.6175313001752
10,0.056588558683858564,2.8264613365855906,1628.0506111252193
