0
num__age
num__dependents
num__monthly_income
num__income_source_diversity
num__expense_ratio
num__monthly_outflow
num__net_cash_flow
num__loan_amount
num__loan_tenure
num__existing_loan_count
num__total_debt_amount
num__monthly_debt_payment
num__surplus_income
num__dti_ratio
num__lti_ratio
num__affordability_ratio
num__loan_cycle_count
ord__education_level
ord__living_duration
ord__employment_tenure
ord__work_experience
ord__on_time_payment_ratio
ord__max_dpd
ord__early_repayment_frequency
bin__guarantee_support
bin__saving_indicator
bin__is_urban
nom__marital_status_Divorced
nom__marital_status_Married
nom__marital_status_Single
nom__residence_type_Family House
nom__residence_type_Own House
nom__residence_type_Rent
nom__employment_type_Business Owner
nom__employment_type_Employee
nom__employment_type_Government Officer
nom__industry_Building
nom__industry_Business
nom__industry_Delivery
nom__industry_Other
nom__industry_Service
nom__position_Co-Founder
nom__position_Deputy Head of Department
nom__position_Director
nom__position_Founder
nom__position_Head of Department
nom__position_Manager
nom__position_Officer
nom__position_Other
nom__position_Senior Manager
nom__position_Skilled Worker
nom__position_Staff
nom__position_Worker
nom__loan_purpose_Bill Payment Services
nom__loan_purpose_Expand Business
nom__loan_purpose_Living Support
nom__loan_purpose_Medical Treatment
nom__loan_purpose_Repair of the House
nom__loan_purpose_Shopping
nom__loan_purpose_Startup
nom__loan_purpose_Travel
nom__loan_purpose_Vehicles
nom__loan_purpose_Wedding/birth anniversary
nom__asset_ownership_Car
nom__asset_ownership_Computer
nom__asset_ownership_Motobike
nom__asset_ownership_Phone
